remedy_id,name,conditions,skin_types,severity_levels,ingredients,instructions,cautions,excluded_conditions,source_title,source_url,confidence_rating,language,created_by,application_area
r_charcoal_face_mask,Charcoal Face Mask,acne;blackheads,oily;combination,moderate,activated_charcoal;aloe_vera_gel;tea_tree_oil,"Mix 1 tablespoon activated charcoal with 2 tablespoons aloe vera gel and 2-3 drops tea tree oil. Apply to the face, avoiding the eye area. Leave on for 10-15 minutes, then rinse off with warm water.",Perform a patch test before use. Avoid contact with eyes.,,Want to Make Your Own Charcoal Mask? Check Out These 3 DIY Recipes,https://www.healthline.com/health/beauty-skin-care/diy-charcoal-mask,4.5,en,scraped,face
r_hydrating_honey_mask,Hydrating Honey Mask,dryness;dullness,dry;sensitive,mild,raw_honey;avocado;plain_yogurt,"Mash half an avocado and mix with 1 tablespoon raw honey and 1 tablespoon plain yogurt. Apply to the face, avoiding the eye area. Leave on for 15-20 minutes, then rinse off with warm water.",Perform a patch test before use. Avoid contact with eyes.,,Got Dry Skin? 3 Hydrating DIY Recipes That Work,https://www.healthline.com/health/beauty-skin-care/diy-hydrating-face-masks,4.5,en,scraped,face
r_oatmeal_yogurt_scrub,Oatmeal and Yogurt Scrub,sensitive skin;inflammation,combination;sensitive,mild,rolled_oats;plain_greek_yogurt;jojoba_oil,Grind 2 tablespoons of rolled oats into a fine powder. Mix with 1 tablespoon plain Greek yogurt and 1 tablespoon jojoba oil. Apply to cleansed skin in gentle circles for about 30 to 60 seconds. Rinse with lukewarm water.,Perform a patch test before use. Avoid contact with eyes.,,Homemade Facial Scrub: 8 DIY Recipes for Healthier Skin,https://www.healthline.com/health/homemade-facial-scrub,4.5,en,scraped,body
r_honey_oats_scrub,Honey and Oats Scrub,acne;oiliness,oily;combination,mild,rolled_oats;raw_honey;jojoba_oil,Grind 1/4 cup rolled oats into a fine powder. Warm 2 tablespoons of raw honey slightly for easier mixing. Combine with 2 tablespoons jojoba oil. Apply to cleansed skin in gentle circles for about 60 seconds. Rinse with lukewarm water.,Perform a patch test before use. Avoid contact with eyes.,,Homemade Facial Scrub: 8 DIY Recipes for Healthier Skin,https://www.healthline.com/health/homemade-facial-scrub,4.5,en,scraped,body
r_apple_honey_scrub,Apple and Honey Scrub,acne;oiliness,oily;acne-prone,mild,apple;raw_honey;jojoba_oil,"Peel and core 1 ripe apple, then puree until smooth. Warm 1/2 tablespoon raw honey slightly. Mix with 1/2 teaspoon jojoba oil. Apply in circular motions to cleansed skin for 30 to 60 seconds. Leave on for 5 minutes, then rinse with lukewarm water.",Perform a patch test before use. Avoid contact with eyes.,,Homemade Facial Scrub: 8 DIY Recipes for Healthier Skin,https://www.healthline.com/health/homemade-facial-scrub,4.5,en,scraped,body
r_banana_oatmeal_scrub,Banana Oatmeal Scrub,oiliness;dullness,oily,mild,banana;rolled_oats;plain_greek_yogurt,Mash 1 ripe banana until smooth. Grind 2 tablespoons rolled oats into a fine powder. Mix with 1 tablespoon plain Greek yogurt. Apply to cleansed skin in circular motions for 30 to 60 seconds. Rinse with lukewarm water.,Perform a patch test before use. Avoid contact with eyes.,,Homemade Facial Scrub: 8 DIY Recipes for Healthier Skin,https://www.healthline.com/health/homemade-facial-scrub,4.5,en,scraped,body
r_coffee_scrub,Coffee Scrub,dullness;cellulite,oily;normal,moderate,finely_ground_coffee;brown_sugar;avocado_oil;coconut_oil,"Mix 1 cup finely ground coffee with 1 cup brown sugar, 2 tablespoons avocado oil, and 2 tablespoons coconut oil. Apply to cleansed skin in gentle circular motions for 1 to 3 minutes. Rinse with lukewarm water.",Perform a patch test before use. Avoid contact with eyes. Not recommended for sensitive skin.,,Homemade Facial Scrub: 8 DIY Recipes for Healthier Skin,https://www.healthline.com/health/homemade-facial-scrub,4.5,en,scraped,body
r_strawberry_scrub,Strawberry Scrub,acne;inflammation,acne-prone,mild,strawberries;sugar;coconut_oil,Mash 1/2 cup strawberries with a fork. Mix with 1 cup sugar and 1/2 cup coconut oil. Apply to cleansed skin in circular motions for 30 to 60 seconds. Rinse with lukewarm water.,Perform a patch test before use. Avoid contact with eyes.,,Homemade Facial Scrub: 8 DIY Recipes for Healthier Skin,https://www.healthline.com/health/homemade-facial-scrub,4.5,en,scraped,body
r_brown_sugar_scrub,Brown Sugar Scrub,dry skin;acne,dry;acne-prone,mild,brown_sugar;avocado_oil;lemongrass_essential_oil,Mix 1/2 cup brown sugar with 1/4 cup avocado oil and a few drops of lemongrass essential oil. Apply to cleansed skin in gentle circular motions for 30 to 60 seconds. Rinse with lukewarm water.,Perform a patch test before use. Avoid contact with eyes.,,Homemade Facial Scrub: 8 DIY Recipes for Healthier Skin,https://www.healthline.com/health/homemade-facial-scrub,4.5,en,scraped,body
r_egg_white_acne_mask,Egg White Acne Mask,acne;blemishes,oily;combination,mild,egg_white,"Separate 2 to 3 egg whites from the yolks and place them in a bowl. Dip a cotton swab into the bowl and apply the egg whites to your face. Let the mask sit for 10 to 15 minutes, then wash off with a damp cloth and apply a moisturizer.",Perform a patch test before use. Avoid contact with eyes.,,Homemade Face Masks for 6 Different Skin Conditions,https://www.healthline.com/health/homemade-face-masks,4.5,en,scraped,face
r_turmeric_hyperpigmentation_mask,Turmeric Hyperpigmentation Mask,hyperpigmentation;dark_spots,all,mild,turmeric_powder;raw_honey,"Mix 1/2 teaspoon turmeric powder with 1 to 2 tablespoons of raw honey to create a paste. Gently massage the paste over your face. Let it sit for 10 minutes, then wash off with warm water.",Perform a patch test before use. Turmeric may stain skin temporarily.,,Homemade Face Masks for 6 Different Skin Conditions,https://www.healthline.com/health/homemade-face-masks,4.5,en,scraped,face
r_oatmeal_baking_soda_mask,Oatmeal & Baking Soda Clogged Pores Mask,clogged_pores;dullness,oily;combination,mild,oatmeal;baking_soda;water,Combine 2 teaspoons oatmeal and 1 teaspoon baking soda in a bowl. Slowly add a few drops of water to create a paste. Gently massage the paste over your face and let it dry. Wash off with warm water and apply a moisturizer.,Perform a patch test before use. Avoid contact with eyes.,,Homemade Face Masks for 6 Different Skin Conditions,https://www.healthline.com/health/homemade-face-masks,4.5,en,scraped,face
r_banana_lemon_oily_skin_mask,Banana & Lemon Oily Skin Mask,oily_skin;acne,oily;combination,mild,banana;lemon_juice,Mash one banana in a bowl and mix with 1 tablespoon of lemon juice. Apply the mixture to your face and leave it on for 10 to 15 minutes. Rinse off with warm water and pat dry.,Perform a patch test before use. Lemon juice can increase sun sensitivity.,,Homemade Face Masks for 6 Different Skin Conditions,https://www.healthline.com/health/homemade-face-masks,4.5,en,scraped,face
r_avocado_olive_oil_dry_skin_mask,Avocado & Olive Oil Dry Skin Mask,dry_skin;flakiness,dry;sensitive,mild,avocado;olive_oil,Mash half an avocado and mix with 1 tablespoon of olive oil. Apply the mixture to your face and leave it on for 15 to 20 minutes. Rinse off with warm water and pat dry.,Perform a patch test before use. Avoid contact with eyes.,,Homemade Face Masks for 6 Different Skin Conditions,https://www.healthline.com/health/homemade-face-masks,4.5,en,scraped,face
r_yogurt_honey_wrinkle_mask,Yogurt & Honey Wrinkle Mask,wrinkles;fine_lines,all,mild,plain_yogurt;honey,Mix 2 tablespoons of plain yogurt with 1 tablespoon of honey. Apply the mixture to your face and leave it on for 10 to 15 minutes. Rinse off with warm water and pat dry.,Perform a patch test before use. Avoid contact with eyes.,,Homemade Face Masks for 6 Different Skin Conditions,https://www.healthline.com/health/homemade-face-masks,4.5,en,scraped,face
r_spirulina_manuka_mask,Spirulina and Manuka Honey Hydration Mask,dryness;fine_lines,all,mild,manuka_honey;spirulina_powder;rose_water,"Mix 2 tablespoons of manuka honey with 1 teaspoon of spirulina powder and 1 teaspoon of rose water. Apply the mixture gently to your skin. Leave on for 30 minutes, then rinse off with water.",Perform a patch test before use. Avoid contact with eyes.,,Got Dry Skin? 3 Hydrating DIY Recipes That Work,https://www.healthline.com/health/beauty-skin-care/diy-hydrating-face-treatments,4.5,en,scraped,face
r_oat_banana_exfoliating_mask,Oat Banana Exfoliating Mask,dryness;dullness,dry;sensitive,mild,banana;oats;rose_water,Mash 1/2 ripe banana and mix with 1 tablespoon of oats. Add 1 tablespoon of rose water to achieve a thick consistency. Apply to your face and leave on for 20–30 minutes. Rinse off with lukewarm water using small circular motions.,Perform a patch test before use. Avoid contact with eyes.,,Got Dry Skin? 3 Hydrating DIY Recipes That Work,https://www.healthline.com/health/beauty-skin-care/diy-hydrating-face-treatments,4.5,en,scraped,face
r_herbal_facial_steam,Herbal Facial Steam Treatment,dryness;dullness,all,mild,calendula;chamomile;rosemary;rose_petals,"Place a handful of calendula, chamomile, rosemary, and rose petals into a basin or large pot. Add 1 liter of boiling water. Cover and let it steep for 5 minutes. Tuck your head under a towel, creating a tent over your head while you place your face over the basin. Steam for around 10 minutes. Rinse gently with lukewarm water.",Perform a patch test before use. Avoid contact with eyes.,,Got Dry Skin? 3 Hydrating DIY Recipes That Work,https://www.healthline.com/health/beauty-skin-care/diy-hydrating-face-treatments,4.5,en,scraped,face
r_coffee_scrub,Coffee Scrub,dullness;cellulite,all,moderate,coffee_grounds;hot_water;coconut_oil,"Mix 1/2 cup of coffee grounds with 2 tablespoons of hot water. Add 1 tablespoon of warm coconut oil and stir until well combined. Apply the scrub to your skin in circular motions, then rinse off with warm water.",Perform a patch test before use. Avoid contact with eyes.,,DIY Body Scrubs: 5 Easy Recipes to Exfoliate Your Skin,https://www.healthline.com/health/skin/diy-body-scrub,4.5,en,scraped,body
r_brown_sugar_scrub,Brown Sugar Scrub,dryness;sensitive_skin,all,mild,brown_sugar;carrier_oil;essential_oil,"Combine 1/2 cup brown sugar and 1/2 cup carrier oil (such as coconut, jojoba, olive, almond, or grapeseed) in a mixing bowl. Mix thoroughly. If desired, add 1 or 2 drops of your favorite essential oil and stir it into the mixture. Apply to the skin in circular motions, then rinse off with warm water.",Perform a patch test before use. Avoid contact with eyes.,,DIY Body Scrubs: 5 Easy Recipes to Exfoliate Your Skin,https://www.healthline.com/health/skin/diy-body-scrub,4.5,en,scraped,body
r_sea_salt_scrub,Sea Salt Scrub,dryness;rough_skin,all,moderate,sea_salt;carrier_oil;essential_oil,"Combine 1/2 cup sea salt and 1/2 cup carrier oil of your choice in a mixing bowl. Mix thoroughly. If desired, add 1 or 2 drops of your favorite essential oil and stir it into the mixture. Apply to the skin in circular motions, then rinse off with warm water.",Perform a patch test before use. Avoid contact with eyes. Not recommended for sensitive or broken skin.,,DIY Body Scrubs: 5 Easy Recipes to Exfoliate Your Skin,https://www.healthline.com/health/skin/diy-body-scrub,4.5,en,scraped,body
r_green_tea_sugar_scrub,Green Tea Sugar Scrub,dullness;inflammation,all,mild,green_tea;hot_water;brown_sugar;coconut_oil,"Add 2 green tea bags to 1/2 cup hot water and let steep until cool. In a bowl, combine 1 cup brown sugar and 1/4 cup melted coconut oil. Once the tea has cooled, add it to the sugar mixture and stir until well combined. Apply to the skin in circular motions, then rinse off with warm water.",Perform a patch test before use. Avoid contact with eyes.,,DIY Body Scrubs: 5 Easy Recipes to Exfoliate Your Skin,https://www.healthline.com/health/skin/diy-body-scrub,4.5,en,scraped,body
r_honey_sugar_scrub,Honey Sugar Scrub,dryness;dullness,all,mild,brown_sugar;coconut_oil;honey,"In a mixing bowl, combine 1/2 cup brown sugar, 1/4 cup melted coconut oil, and 2 tablespoons honey. Mix thoroughly. Apply to the skin in circular motions, then rinse off with warm water.",Perform a patch test before use. Avoid contact with eyes.,,DIY Body Scrubs: 5 Easy Recipes to Exfoliate Your Skin,https://www.healthline.com/health/skin/diy-body-scrub,4.5,en,scraped,body
r_coffee_ice_cubes,Coffee Ice Cubes,puffiness;dark_circles,all,mild,brewed_coffee,"Brew a strong cup of coffee and let it cool. Pour the coffee into an ice cube tray and freeze. Once frozen, wrap a cube in a soft cloth and gently apply to the under-eye area for a few minutes.",Perform a patch test before use. Avoid contact with eyes.,,8 DIY Creams and Oils for Eye Puffiness and Wrinkles,https://www.healthline.com/health/beauty-skin-care/diy-eye-creams,4.5,en,scraped,under_eye
r_green_tea_bags,Green Tea Bags,puffiness;inflammation,all,mild,green_tea_bags,"Steep two green tea bags in hot water for 3-5 minutes. Remove and let them cool in the refrigerator. Once chilled, place a tea bag over each closed eye for 10-15 minutes.",Perform a patch test before use. Avoid contact with eyes.,,8 DIY Creams and Oils for Eye Puffiness and Wrinkles,https://www.healthline.com/health/beauty-skin-care/diy-eye-creams,4.5,en,scraped,under_eye
r_vitamin_e_capsules,Vitamin E Capsules,wrinkles;dryness,all,mild,vitamin_e_oil,Puncture a vitamin E capsule and gently apply the oil to the under-eye area using your fingertip. Leave it on overnight and rinse off in the morning.,Perform a patch test before use. Avoid contact with eyes.,,8 DIY Creams and Oils for Eye Puffiness and Wrinkles,https://www.healthline.com/health/beauty-skin-care/diy-eye-creams,4.5,en,scraped,under_eye
r_vitamin_k_caffeine_pads,Vitamin K and Caffeine Pads,dark_circles;wrinkles,all,moderate,vitamin_k;coffee,Mix vitamin K cream with a small amount of brewed coffee to form a paste. Soak cotton pads in the mixture and place them under the eyes for 10-15 minutes.,Perform a patch test before use. Avoid contact with eyes.,,8 DIY Creams and Oils for Eye Puffiness and Wrinkles,https://www.healthline.com/health/beauty-skin-care/diy-eye-creams,4.5,en,scraped,under_eye
r_coconut_oil,Coconut Oil,dryness;fine_lines,all,mild,coconut_oil,Warm a small amount of coconut oil between your fingers and gently dab it onto the under-eye area before bedtime. Leave it on overnight.,Perform a patch test before use. Avoid contact with eyes.,,8 DIY Creams and Oils for Eye Puffiness and Wrinkles,https://www.healthline.com/health/beauty-skin-care/diy-eye-creams,4.5,en,scraped,under_eye
r_olive_oil,Olive Oil,dryness;fine_lines,all,mild,olive_oil,Apply a few drops of olive oil to the under-eye area and gently massage it in before bedtime. Leave it on overnight.,Perform a patch test before use. Avoid contact with eyes.,,8 DIY Creams and Oils for Eye Puffiness and Wrinkles,https://www.healthline.com/health/beauty-skin-care/diy-eye-creams,4.5,en,scraped,under_eye
r_aloe_vera_gel,Aloe Vera Gel,puffiness;inflammation,all,mild,aloe_vera_gel,Apply a small amount of pure aloe vera gel to the under-eye area and gently massage it in. Leave it on for 10-15 minutes before rinsing off.,Perform a patch test before use. Avoid contact with eyes.,,8 DIY Creams and Oils for Eye Puffiness and Wrinkles,https://www.healthline.com/health/beauty-skin-care/diy-eye-creams,4.5,en,scraped,under_eye
r_vitamin_e_essential_oils_blend,Vitamin E and Essential Oils Blend,wrinkles;dark_circles,all,moderate,vitamin_e_oil;lavender_essential_oil;arnica_essential_oil;vitamin_k,"Mix 1 tsp vitamin E oil, 1 tsp lavender essential oil, 1 tsp arnica essential oil, and 1 tsp vitamin K. Gently apply a small amount to the under-eye area in the morning and evening.",Perform a patch test before use. Avoid contact with eyes. Discard if irritation occurs.,,8 DIY Creams and Oils for Eye Puffiness and Wrinkles,https://www.healthline.com/health/beauty-skin-care/diy-eye-creams,4.5,en,scraped,under_eye
r_virgin_coconut_oil_moisturizer,Virgin Coconut Oil Moisturizer,dryness;dullness,dry;sensitive,mild,virgin_coconut_oil,Massage a small amount of virgin coconut oil onto your face. Let it soak in for a few minutes before washing off with your normal cleanser.,Perform a patch test before use. Avoid use if allergic to coconut.,,10 Home Remedies for Glowing Skin,https://www.healthline.com/health/beauty-skin-care/home-remedies-for-glowing-skin,4.5,en,scraped,face
r_aloe_vera_gel_application,Aloe Vera Gel Application,dryness;inflammation,all,mild,aloe_vera_gel,Apply pure aloe vera gel to your face after cleansing. Leave it on for 10-15 minutes before rinsing off.,Perform a patch test before use. Discontinue if irritation occurs.,,10 Home Remedies for Glowing Skin,https://www.healthline.com/health/beauty-skin-care/home-remedies-for-glowing-skin,4.5,en,scraped,face
r_proper_moisturization,Proper Moisturization,dryness;dullness,all,mild,moisturizer,Apply a suitable moisturizer to your face while it's still damp after cleansing to lock in moisture.,Choose a moisturizer appropriate for your skin type. Perform a patch test before use.,,10 Home Remedies for Glowing Skin,https://www.healthline.com/health/beauty-skin-care/home-remedies-for-glowing-skin,4.5,en,scraped,face
r_daily_sunscreen_application,Daily Sunscreen Application,photoaging;sun_damage,all,mild,sunscreen_spf_15_plus,"Apply a broad-spectrum sunscreen with at least SPF 15 every morning, even on cloudy days.",Reapply every two hours when outdoors. Avoid contact with eyes.,,10 Home Remedies for Glowing Skin,https://www.healthline.com/health/beauty-skin-care/home-remedies-for-glowing-skin,4.5,en,scraped,face
r_gentle_cleansing_routine,Gentle Cleansing Routine,acne;oiliness,all,mild,gentle_cleanser,"Wash your face with a gentle cleanser after sweating, in the morning, and before bed to remove impurities.",Avoid over-washing to prevent skin dryness. Use lukewarm water.,,10 Home Remedies for Glowing Skin,https://www.healthline.com/health/beauty-skin-care/home-remedies-for-glowing-skin,4.5,en,scraped,face
